No.,fecha,lluvia,Nombre,tmin,tseca,tmax,hum_rel,nub,vel_viento,dir_viento,Fenomenos/0,Fenomenos/1,Fenomenos/2,Fenomenos/3,Fenomenos/4,Fenomenos/5,Fenomenos/6,Fenomenos/7,Fenomenos/8,Fenomenos/9,Fenomenos/10,Longitud,Latitud,Altitud
1,2023-07-10,0.0,SANTA CRUZ BALANYA,11.5,18.5,23.8,96.0,6.0,4.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-90.918504,14.683227,2080.0
2,2023-07-11,16.3,SANTA CRUZ BALANYA,11.5,18.5,23.0,94.0,7.0,6.7,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-90.918504,14.683227,2080.0
3,2023-07-12,0.0,SANTA CRUZ BALANYA,12.0,19.2,23.6,94.0,6.0,6.7,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-90.918504,14.683227,2080.0
4,2023-07-13,7.2,SANTA CRUZ BALANYA,12.0,18.6,23.8,93.0,7.0,6.7,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-90.918504,14.683227,2080.0
5,2023-07-14,1.6,SANTA CRUZ BALANYA,12.5,18.7,23.6,94.0,4.0,6.7,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-90.918504,14.683227,2080.0
6,2023-07-15,0.5,SANTA CRUZ BALANYA,13.0,19.0,22.5,94.0,5.0,6.7,90.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-90.918504,14.683227,2080.0
7,2023-07-16,3.1,SANTA CRUZ BALANYA,13.0,17.3,23.4,95.0,7.0,6.7,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-90.918504,14.683227,2080.0
8,2023-07-17,0.7,SANTA CRUZ BALANYA,12.0,18.7,23.2,94.0,3.0,6.7,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-90.918504,14.683227,2080.0
9,2023-07-18,0.0,SANTA CRUZ BALANYA,11.5,18.6,23.4,92.0,4.0,11.3,360.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-90.918504,14.683227,2080.0
10,2023-07-19,0.0,SANTA CRUZ BALANYA,10.5,18.5,23.4,92.0,7.0,6.7,360.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-90.918504,14.683227,2080.0
11,2023-07-20,0.0,SANTA CRUZ BALANYA,11.0,18.7,23.0,95.0,6.0,4.7,360.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-90.918504,14.683227,2080.0
12,2023-07-21,0.0,SANTA CRUZ BALANYA,12.5,19.8,24.2,94.0,4.0,4.7,360.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-90.918504,14.683227,2080.0
13,2023-07-22,0.0,SANTA CRUZ BALANYA,12.5,19.1,24.0,94.0,7.0,4.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-90.918504,14.683227,2080.0
14,2023-07-23,0.0,SANTA CRUZ BALANYA,12.5,18.7,25.0,95.0,7.0,6.7,360.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-90.918504,14.683227,2080.0
15,2023-07-24,8.9,SANTA CRUZ BALANYA,12.5,18.3,24.4,95.0,7.0,4.7,9.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-90.918504,14.683227,2080.0
16,2023-07-25,2.4,SANTA CRUZ BALANYA,12.5,18.7,23.2,92.0,3.0,4.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-90.918504,14.683227,2080.0
